Event,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Medal
"Canoeing Men's Canadian Singles, Slalom",4,4,4,4,4,4,4,4,4,4,4,4,4,0
"Canoeing Men's Kayak Doubles, 1,000 metres",4,4,4,4,4,4,4,4,4,4,4,4,4,0
"Canoeing Men's Kayak Doubles, 200 metres",2,2,2,2,2,2,2,2,2,2,2,2,2,0
"Canoeing Men's Kayak Doubles, 500 metres",6,6,6,6,6,6,6,6,6,6,6,6,6,0
"Canoeing Men's Kayak Fours, 1,000 metres",4,4,4,4,4,4,4,4,4,4,4,4,4,0
"Canoeing Men's Kayak Singles, 1,000 metres",4,4,4,4,4,4,4,4,4,4,4,4,4,0
"Canoeing Men's Kayak Singles, 200 metres",1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Canoeing Men's Kayak Singles, 500 metres",4,4,4,4,4,4,4,4,4,4,4,4,4,0
"Canoeing Men's Kayak Singles, Slalom",4,4,4,4,4,4,4,4,4,4,4,4,4,0
"Canoeing Women's Kayak Singles, 200 metres",1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Canoeing Women's Kayak Singles, 500 metres",1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Canoeing Women's Kayak Singles, Slalom",3,3,3,3,2,2,3,3,3,3,3,3,3,0
"Equestrianism Men's Jumping, Individual",6,6,6,5,1,0,6,6,6,6,6,6,6,0
"Equestrianism Men's Jumping, Team",6,6,6,5,1,0,6,6,6,6,6,6,6,0
"Equestrianism Men's Three-Day Event, Individual",4,4,4,4,1,0,4,4,4,4,4,4,4,0
"Equestrianism Men's Three-Day Event, Team",3,3,3,3,1,0,3,3,3,3,3,3,3,0
"Equestrianism Mixed Dressage, Individual",9,9,9,9,9,9,9,9,9,9,9,9,9,0
"Equestrianism Mixed Dressage, Team",4,4,4,4,4,4,4,4,4,4,4,4,4,0
"Equestrianism Mixed Jumping, Individual",47,47,47,47,44,40,47,47,47,47,47,47,47,1
"Equestrianism Mixed Jumping, Team",44,44,44,44,41,37,44,44,44,44,44,44,44,8
"Equestrianism Mixed Three-Day Event, Individual",22,22,22,22,22,22,22,22,22,22,22,22,22,0
"Equestrianism Mixed Three-Day Event, Team",25,25,25,25,25,25,25,25,25,25,25,25,25,0
Football Men's Football,204,204,204,204,177,162,204,204,204,204,204,204,204,101
Football Women's Football,102,102,102,102,102,101,102,102,102,102,102,102,102,35
Gymnastics Men's Floor Exercise,12,12,12,12,12,12,12,12,12,12,12,12,12,2
Gymnastics Men's Horizontal Bar,9,9,9,9,9,9,9,9,9,9,9,9,9,0
Gymnastics Men's Horse Vault,6,6,6,6,6,6,6,6,6,6,6,6,6,0
Gymnastics Men's Individual All-Around,10,10,10,10,10,10,10,10,10,10,10,10,10,0
Gymnastics Men's Parallel Bars,9,9,9,9,9,9,9,9,9,9,9,9,9,0
Gymnastics Men's Pommelled Horse,9,9,9,9,9,9,9,9,9,9,9,9,9,0
Gymnastics Men's Rings,11,11,11,11,11,11,11,11,11,11,11,11,11,2
Gymnastics Men's Team All-Around,5,5,5,5,5,5,5,5,5,5,5,5,5,0
Gymnastics Women's Balance Beam,24,24,24,24,22,22,24,24,24,24,24,24,24,0
Gymnastics Women's Floor Exercise,24,24,24,24,23,23,24,24,24,24,24,24,24,0
Gymnastics Women's Horse Vault,12,12,12,12,12,12,12,12,12,12,12,12,12,0
Gymnastics Women's Individual All-Around,24,24,24,24,23,23,24,24,24,24,24,24,24,0
Gymnastics Women's Team All-Around,22,22,22,22,20,20,22,22,22,22,22,22,22,0
Gymnastics Women's Uneven Bars,24,24,24,24,23,23,24,24,24,24,24,24,24,0
Judo Men's Extra-Lightweight,10,10,10,10,9,9,10,10,10,10,10,10,10,1
Judo Men's Half-Heavyweight,12,12,12,12,12,12,12,12,12,12,12,12,12,4
Judo Men's Half-Lightweight,10,10,10,10,9,9,10,10,10,10,10,10,10,2
Judo Men's Half-Middleweight,11,11,11,11,11,11,11,11,11,11,11,11,11,2
Judo Men's Heavyweight,10,10,10,10,9,9,10,10,10,10,10,10,10,2
Judo Men's Lightweight,10,10,10,10,9,9,10,10,10,10,10,10,10,4
Judo Men's Middleweight,13,13,13,13,12,12,13,13,13,13,13,13,13,2
Judo Men's Open Class,2,2,2,2,2,2,2,2,2,2,2,2,2,0
Judo Women's Extra-Lightweight,7,7,7,7,5,5,7,7,7,7,7,7,7,1
Judo Women's Half-Heavyweight,6,6,6,6,5,5,6,6,6,6,6,6,6,2
Judo Women's Half-Lightweight,5,5,5,5,3,3,5,5,5,5,5,5,5,0
Judo Women's Half-Middleweight,7,7,7,7,6,6,7,7,7,7,7,7,7,0
Judo Women's Heavyweight,5,5,5,5,4,4,5,5,5,5,5,5,5,0
Judo Women's Lightweight,7,7,7,7,6,6,7,7,7,7,7,7,7,2
Judo Women's Middleweight,5,5,5,5,5,5,5,5,5,5,5,5,5,0
Modern Pentathlon Men's Individual,18,18,18,18,7,2,18,18,18,18,18,18,18,0
Modern Pentathlon Men's Team,9,9,9,9,4,0,9,9,9,9,9,9,9,0
Modern Pentathlon Women's Individual,4,4,4,4,4,4,4,4,4,4,4,4,4,1
Sailing Men's One Person Dinghy,7,7,7,7,7,7,7,7,7,7,7,7,7,0
Sailing Men's One Person Heavyweight Dinghy,2,2,2,2,2,2,2,2,2,2,2,2,2,0
Sailing Men's Skiff,2,2,2,2,2,2,2,2,2,2,2,2,2,0
Sailing Men's Two Person Dinghy,14,14,14,14,13,13,14,14,14,14,14,14,14,0
Sailing Men's Two Person Keelboat,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Sailing Men's Windsurfer,7,7,7,7,7,7,7,7,7,7,7,7,7,0
Sailing Mixed Multihull,16,16,16,16,16,16,16,16,16,16,16,16,16,6
Sailing Mixed One Person Dinghy,16,16,16,16,13,12,16,16,16,16,16,16,16,3
Sailing Mixed Skiff,4,4,4,4,4,4,4,4,4,4,4,4,4,0
Sailing Mixed Three Person Keelboat,25,25,25,24,23,22,25,25,25,25,25,25,25,3
Sailing Mixed Two Person Dinghy,6,6,6,6,6,6,6,6,6,6,6,6,6,2
Sailing Mixed Two Person Heavyweight Dinghy,20,20,20,20,16,14,20,20,20,20,20,20,20,4
Sailing Mixed Two Person Keelboat,28,28,28,28,20,17,28,28,28,28,28,28,28,6
Sailing Mixed Windsurfer,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Sailing Women's One Person Dinghy,4,4,4,4,4,4,4,4,4,4,4,4,4,0
Sailing Women's Skiff,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Sailing Women's Two Person Dinghy,14,14,14,14,12,12,14,14,14,14,14,14,14,2
Sailing Women's Windsurfer,7,7,7,7,7,7,7,7,7,7,7,7,7,0
"Shooting Men's Air Pistol, 10 metres",5,5,5,5,4,4,5,5,5,5,5,5,5,1
"Shooting Men's Air Rifle, 10 metres",1,1,1,1,1,1,1,1,1,1,1,1,1,0
Shooting Men's Double Trap,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Shooting Men's Free Pistol, 50 metres",18,18,18,17,11,5,18,18,18,18,18,18,18,1
"Shooting Men's Free Pistol, 50 metres, Team",5,5,5,4,2,0,5,5,5,5,5,5,5,5
"Shooting Men's Free Rifle, Three Positions, 300 metres",2,2,2,2,1,0,2,2,2,2,2,2,2,0
"Shooting Men's Military Pistol, 30 metres",5,5,5,4,1,0,5,5,5,5,5,5,5,1
"Shooting Men's Military Pistol, Team",5,5,5,4,1,0,5,5,5,5,5,5,5,0
"Shooting Men's Rapid-Fire Pistol, 25 metres",15,15,15,13,9,4,15,15,15,15,15,15,15,0
Shooting Men's Skeet,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",18,18,18,16,11,3,18,18,18,18,18,18,18,0
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",6,6,6,6,2,1,6,6,6,6,6,6,6,0
Shooting Men's Trap,3,3,3,3,3,3,3,3,3,3,3,3,3,0
"Shooting Mixed Free Pistol, 50 metres",6,6,6,6,6,6,6,6,6,6,6,6,6,0
"Shooting Mixed Rapid-Fire Pistol, 25 metres",2,2,2,2,2,2,2,2,2,2,2,2,2,0
Shooting Mixed Skeet,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",6,6,6,6,6,6,6,6,6,6,6,6,6,0
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",1,1,1,1,1,1,1,1,1,1,1,1,1,0
Shooting Mixed Trap,7,7,7,7,7,7,7,7,7,7,7,7,7,0
"Shooting Women's Air Pistol, 10 metres",4,4,4,4,4,4,4,4,4,4,4,4,4,0
"Shooting Women's Air Rifle, 10 metres",1,1,1,1,1,1,1,1,1,1,1,1,1,0
Shooting Women's Skeet,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",1,1,1,1,1,1,1,1,1,1,1,1,1,0
